pkg_name,max(vercode)
AutomateIt.mainPackage,99
B4A.BigFivePersonalityTest,5
CN.MyPrivateMessages,67
Cam.SILENT,86
Com.sktelecom.minit,57
DOCECG2.doctor,9
Dishtv.Dynamic,7
Draziw.Button.Mines,81
Face.Sorter,97
Gecko.Droid.PhysicsHelper,98
HinKhoj.Dictionary,96
Ibtikar.Applications.Ibaloot,822220
Kal.FlightInfo,61
Kenneth.Currency,44
MyING.be,9
NoamStudios.Games.MegaTicTacToeFree,36
OCTech.Mobile.Applications.OBDLink,9
Syamu.Dictionary.Sarada,59
TIViewer.Alex.com.free.www,79
Uxpp.UC,214
View.CalCollection.SangGeon.Cauly,63
a.gunssounds.counter.weaponsounds.strike.shootgame.boltfree,100048
a4nao.moible2tv,33
aadhar.update.download.onlinedrivinglicence,3
ab.damumed,18
ab.java.programming,5
abc.apple.emoji.theme.gif.keyboard,5263
abc_kids.alphabet.com,5
abdelrahman.hangmangame,51
abs.workout.fitness.tabata.hiit.stomach,180
absworkout.bellyfatworkout.waistworkout.abdominalworkout,23
abtcul.myphoto.musicplayer,19
ac.lite,6
ace.jun.simplecontrol,85
acr.browser.raisebrowserfull,95
actiongames.games.beachfootball,9
adarshurs.android.vlcmobileremote,91
adblock.browser.lightning,98
advanced.speed.booster,5
aero.sita.lab.resmobileweb.android.mh,9
age.of.civilizations.jakowski.lite,20192
ahihi.studiogamevn.doanbaihat2hinh1chu,5
ai.replika.app,1623
aib.ibank.android,93
air.Airship2,1000001
air.ArabicAlphabetFreeAr,9001000
air.BRFree,1932000
air.BattleofZombies,1000111
air.Beautifulbridedressup,1001001
air.Cinepolis,3003051
air.DecorateYourWalkInCloset,5000006
air.DentistFear,2000021
air.ENC.Primary.English.Ar.free,8001000
air.FashionHouse,1000007
air.FleeingtheComplex,1000008
air.G2JExcellentHouseEscape,1000001
air.HardTime,1260000
air.KuninNikolay.RailwayBridge.Free,2001000
air.LdGamesStudio.BridePrincessWeddingSalon,2004000
air.LdGamesStudio.DollFashionParty,3004000
air.MSPMobile,27000002
air.MallShoppingFashionStore,4006000
air.Popscene,1013000
air.Primary.Arabic.A4enc,7008000
air.PrincessCastleCakeCookingDecoration,3000015
air.PrincessWeddingSalonStyle,4008000
air.QCHMOBILE,6049578
air.RTE.OSMF.Minimal,1000117
air.Restaurant.Games.demo,2003008
air.RoseWeddingCakeGame,4000006
air.SpeedCarRacing,18
air.Story.Laila.and.the.Wolf.Ar.A4enc,7000000
air.SuperCity,1172000
air.Tales.stories.children.Cinderella.A4enc,6008000
air.Teaching.Kids.the.Holy.Quran.A4enc,7008000
air.WR3DFree,1230000
air.WRCareer,1932000
air.WatchESPN,2100196
air.WeekendWarriors,1160000
air.air.Eldhelm,5003004
air.air.com.jessoft.flvplayer.FLVPlayer,4001001
air.air.com.jessoft.flvplayer.MP4Player,2001006
air.air.com.ofir.Wheelie6,1003000
air.air.cookingstory,3001001
air.air.galaxysiege2.myplayyard.com,1002016
air.androdemolisher11lite,1000004
air.ape018andro001,1000002
air.au.com.metro.DumbWaysToDie2,2200003
air.bamboocannonstudio.gameanakhewanlaut,2002000
air.bg.lan.Monopoli,4005002
air.biz.rightshift.clickfun.casino,1008006
air.br.com.alelo.mobile.android,400000470
air.br.com.bitlabs.FLVPlayer,1009000
air.br.com.bitlabs.SWFPlayer,2000000
air.br.com.bitlabs.VideoPlayer,3001000
air.br.com.domino.mobile,4005009
air.bwebmedia.candycakemaker,6000000
air.byss.mobi.instaplacefree,40000047
air.cbn.superbook.bible.app.android,580000000
air.childLearnMath.edugames.vn,1006000
air.claraoda16android,1000013
air.cn.kx.yttxgoogleEn,9009001
air.co.uk.noisyDuck.RollercoasterMania,1005003
air.com.A3dtuning.Tuning3D,2001035
air.com.A5mgames.icequeenbeautysalon,1000001
air.com.A5thplanetgames.dotd,1003086
air.com.A5thplanetgames.pets,1015000
air.com.BabyHazelGames.BabyHazelSummerCamp,1000009
air.com.BakingBlackForestCake,2000000
air.com.BurgerShopFastFood,1004000
air.com.CaringForPuppySalon,2000005
air.com.CleanUpSpaSalon,6000005
air.com.CookAmericanApplePie,1000004
air.com.CookOwlCookiesForKids,1000002
air.com.CookingGameChefRecipes,4000000
air.com.CookingWeddingCake,3000000
air.com.FDGEntertainment.BloodyHarry,2001010
air.com.FastFoodRestaurant,1000008
air.com.FoodMakerDessertRecipes,3000001
air.com.FreeVideoChat,40020002
air.com.GirlyRoomDecorationGame,4000003
air.com.HFG.A101EscapeGames,8000000
air.com.HFG.A101EscapeRoomGames,7001000
air.com.HFG.A51EscapeGames,8000002
air.com.InteriorHomeDecoration,3000000
air.com.KalromSystems.BestAbsFitness,2002003
air.com.KalromSystems.BestButtFitness,2002004
air.com.KalromSystems.SandDrawLite,3004002
air.com.KalromSystems.WomenWorkout,1004003
air.com.PopcornMaker,1000010
air.com.PrincessRoomCleanup,7000002
air.com.PuppyAndKittySalon,1000014
air.com.RustyLake.CubeEscapeArles,2001001
air.com.RustyLake.CubeEscapeBirthday,2001001
air.com.RustyLake.CubeEscapeCase23,2001001
air.com.RustyLake.CubeEscapeHarveysBox,3001001
air.com.RustyLake.CubeEscapeParadox,1000027
air.com.RustyLake.CubeEscapeSeasons,2002001
air.com.RustyLake.CubeEscapeTheLake,3001001
air.com.RustyLake.CubeEscapeTheMill,2001001
air.com.RustyLake.CubeEscapeTheatre,2000001
air.com.SuperCarWash,2000016
air.com.Yoypo.SkillFinger,4000001
air.com.ZeebarfGamesInc.TheVisitorAndroidDistribution,1002003
air.com.ace2three.mobile,2000008
air.com.aceviral.motox3m,1008008
air.com.aceviral.mutantfightingcup2,1000009
air.com.adobe.connectpro,2006009
air.com.alisacasino.bingo,1024008
air.com.almosys.SimFront3,1004006
air.com.and.games505.gemsofwar,4100006
air.com.anvil.guess,2002000
air.com.apkindodorziki.afropnfich,3000000
air.com.arazonia.caillou,7003000
air.com.arm_enterprises.supersoccer.england2014,1029004
air.com.arpamedia.preschoollearningprincessfun,1002004
air.com.arpamedia.princesscinderllashoemaker,1002004
air.com.arpamedia.princessfantasysparesort,1003003
air.com.avon.mobile.AvonMobile,2003012
air.com.babyhazel.babyhazelcinderellastory,3003000
air.com.babyhazelgames.BabyHazelNewbornBabyGames,3006000
air.com.badviking.BadEggsOnline2,1004006
air.com.bartbonte.red,1004000
air.com.bartbonte.thebox,1008000
